Name,Nearest EDA System,Distance
128 Carinae,LP 98-62,10.642265383836282
61 G. Carinae,Arannos,14.545926727953775
Aelius,LTT 2581,14.913061860748114
AG Doradus,Lutni,11.352398562638646
Alpha Pictoris,Luchu,9.410401907596722
Angra Mainyu,Bhajaja,15.391124674629856
Aphros,CPD-59 314,8.61831715736895
BD+37 968,Shambogi,2.5048780534189685
Byzantine,Marya Wang,14.593381954673838
CD-35 2722,LTT 2581,13.374525400458142
CD-50 2947,RMK 6,7.920133561058172
CD-57 1054,Duwaredari,7.482401227213093
CD-59 1706,Arannos,7.467246187517859
CD-71 230,Albangait,8.058441323388786
Col 285 Sector AA-A a30-3,Antai,15.589804109978418
Col 285 Sector AA-A a30-4,Antai,12.467340145857095
Col 285 Sector AA-A a30-5,Anukan,14.911522914343793
Col 285 Sector AF-A a30-0,HIP 35096,13.073186418199658
Col 285 Sector AF-A a30-1,HIP 35096,6.234355419768751
Col 285 Sector AF-A a30-3,HIP 35096,7.9474593031358145
Col 285 Sector AF-A a30-4,HIP 35096,7.3814854958199305
Col 285 Sector AF-A a30-5,HIP 35096,13.48107035114423
Col 285 Sector AQ-U b17-3,Groanomana,15.288182221081746
Col 285 Sector BA-A a30-0,Anukan,15.318653100468723
Col 285 Sector BA-A a30-1,9 G. Carinae,11.264010373197461
Col 285 Sector BA-A a30-2,HIP 35096,13.764942165243557
Col 285 Sector BA-A a30-3,HIP 35096,14.934623153933279
Col 285 Sector BF-A a30-0,HIP 35096,11.591896752149752
Col 285 Sector BF-A a30-1,HIP 35096,10.562037711777023
Col 285 Sector BF-A a30-2,HIP 35096,11.208735084187689
Col 285 Sector BF-A a30-3,HIP 35096,12.483856763336401
Col 285 Sector BF-A a30-4,HIP 35096,14.993032235842088
Col 285 Sector CA-A a30-0,HIP 35096,4.521433331920311
Col 285 Sector CA-A a30-1,HIP 35096,4.791451535025685
Col 285 Sector CA-A a30-2,HIP 35096,6.61740425412412
Col 285 Sector CA-A a30-3,HIP 35096,6.531324760337676
Col 285 Sector CA-A a30-4,HIP 35096,7.537730614216722
Col 285 Sector CL-Y a30-0,Antai,12.005288548177424
Col 285 Sector CL-Y a30-1,RMK 6,10.099988397270563
Col 285 Sector CL-Y a30-2,RMK 6,13.328408921360419
Col 285 Sector CL-Y a30-3,RMK 6,10.710045664001624
Col 285 Sector CL-Y a30-4,RMK 6,12.773951155574379
Col 285 Sector DA-A a30-0,HIP 35096,6.2800060957374875
