Name,Nearest EDA System,Distance
Alpha Pictoris,Luchu,9.410401907596722
Aphros,CPD-59 314,8.61831715736895
BD+37 968,Shambogi,2.5048780534189685
CD-50 2947,RMK 6,7.920133561058172
CD-57 1054,Duwaredari,7.482401227213093
CD-59 1706,Arannos,7.467246187517859
CD-71 230,Albangait,8.058441323388786
Col 285 Sector AF-A a30-1,HIP 35096,6.234355419768751
Col 285 Sector AF-A a30-3,HIP 35096,7.9474593031358145
Col 285 Sector AF-A a30-4,HIP 35096,7.3814854958199305
Col 285 Sector CA-A a30-0,HIP 35096,4.521433331920311
Col 285 Sector CA-A a30-1,HIP 35096,4.791451535025685
Col 285 Sector CA-A a30-2,HIP 35096,6.61740425412412
Col 285 Sector CA-A a30-3,HIP 35096,6.531324760337676
Col 285 Sector CA-A a30-4,HIP 35096,7.537730614216722
Col 285 Sector DA-A a30-0,HIP 35096,6.2800060957374875
Col 285 Sector DG-Y a30-1,Antai,2.254336099608929
Col 285 Sector DG-Y a30-2,Antai,4.023005134535625
Col 285 Sector EG-Y a30-0,Antai,6.684505754915617
Col 285 Sector EG-Y a30-1,Antai,8.485856799699132
Col 285 Sector EG-Y a30-2,Anukan,8.600054505641229
Col 285 Sector EG-Y a30-3,Antai,5.1873117435720015
Col 285 Sector EL-Y a30-2,HIP 35096,2.8853414550967793
Col 285 Sector EL-Y a30-3,HIP 35096,6.086453965569771
Col 285 Sector EM-W a31-1,Ninhursag,5.745072617034531
Col 285 Sector FG-Y a30-0,HIP 35096,7.794103340025715
Col 285 Sector FG-Y a30-1,HIP 35096,9.616473496037932
Col 285 Sector FG-Y a30-2,Wuy jugun,8.89346670314788
Col 285 Sector FG-Y a30-3,Wuy jugun,6.258899913323427
Col 285 Sector FL-Y a30-0,HIP 35096,3.345939703581043
Col 285 Sector FL-Y a30-1,HIP 35096,4.635756073716562
Col 285 Sector FL-Y a30-2,HIP 35096,6.144579674395963
Col 285 Sector FL-Y a30-4,HIP 35096,8.358075249421962
Col 285 Sector FM-W a31-1,Verner,4.131977999396899
Col 285 Sector FM-W a31-2,Verner,6.132329797882694
Col 285 Sector FR-W a31-0,Uhlan,2.9199943814158273
Col 285 Sector GG-Y a30-0,HIP 35096,8.428757044339337
Col 285 Sector GG-Y a30-1,Wuy jugun,8.935369064146148
Col 285 Sector GG-Y a30-2,Wuy jugun,9.561887235268987
Col 285 Sector GG-Y a30-3,HIP 35096,8.386710562699776
Col 285 Sector GM-W a31-2,Uhlan,7.8349676929774255
Col 285 Sector GM-W a31-3,Uhlan,8.324357144849085
Col 285 Sector GR-W a31-0,RMK 6,5.659960799334215
Col 285 Sector GR-W a31-1,RMK 6,4.60415488309201
Col 285 Sector GR-W a31-2,RMK 6,5.834802642335043
Col 285 Sector HM-W a31-0,Antai,8.562100811862706
Col 285 Sector HM-W a31-1,Antai,7.196597503334475
Col 285 Sector HM-W a31-2,Luchu,7.5094341705950125
Col 285 Sector HM-W a31-3,Uhlan,4.852210353282306
Col 285 Sector HM-W a31-4,Trumuye,6.725214912922858
Col 285 Sector HR-W a31-1,LTT 2684,8.533653507583958
Col 285 Sector IM-L c8-14,Arannos,2.9383309994791262
Col 285 Sector IM-W a31-0,Antai,2.6490711815653425
